MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
703,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd",Simplifying Surds.,Algebra.,\( 5\sqrt{2} \).,\( 7\sqrt{2} \).,Simplify the expression \( \sqrt{18} + \sqrt{32} \).,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd."
705,"When describing the relationship shown on a scatter graphs, gets the effect on the dependent variable backwards",Interpreting Scatter Plots,Statistics and Probability,The test scores decrease.,The test scores increase.,"The scatter plot below shows the relationship between the number of hours studied and the test scores of a group of students. If the number of hours studied increases, what happens to the test scores?","When describing the relationship shown on a scatter graph, gets the effect on the dependent variable backwards."
707,Believes that fractions with the same denominator are equal,Equivalent fractions. CorrectAnswer: A.,Fractions,\(\frac{5}{8}\),\(\frac{6}{16}\),Which of the following fractions is equal to \(\frac{3}{8}\)?,Believes that fractions with the same denominator are equal.
714,Uses the other part instead of total frequency as denominator for relative frequency,Relative Frequency,Statistics,0.6,0.4,"In a survey of 100 people, 40 people said they prefer tea over coffee. What is the relative frequency of people who prefer tea over coffee?",Uses the other part (people who prefer coffee) instead of the total frequency as the denominator for relative frequency.
716,Rounds a decimal instead of using a fraction in division,Decimal division,Arithmetic,3,3.4,What is the result of dividing 17 by 5?,Rounds a decimal instead of using a fraction in division
720,Believes that 'less than' includes the number ,Understanding the meaning of 'less than'. CorrectAnswer: A. ,Number Comparison,10,9,Which of the following numbers is less than 10?,Believes that 'less than' includes the number.
721,Does not know what the symbol for equal lengths means,Understanding of tick marks in geometry diagrams. CorrectAnswer: A. ,Geometry,The two line segments are parallel.,The two line segments are of equal length.,"In a geometry diagram, two line segments are marked with a single tick mark. What does this indicate about the two line segments?",Does not know what the symbol for equal lengths means.
722,Thinks the fraction button finds the reciprocal,Multiplication of fractions. CorrectAnswer: A.,Arithmetic,\( 8 \),\( \frac{3}{8} \),What is the result of \( \frac{1}{2} \times \frac{3}{4} \)?,Thinks the fraction button finds the reciprocal
726,Believes they can reverse a percentage increase or decrease by dividing by the decimal multiplier of the original change,Reversing Percentage Changes,Percentage and Proportions,20%,16.67%,"If the price of a product was increased by 20%, and you want to return it to its original price, what percentage decrease should you apply to the new price?",Believes they can reverse a percentage increase or decrease by dividing by the decimal multiplier of the original change.
728,Confuses least and most,Understanding of numerical order. CorrectAnswer: A. ,Arithmetic,21,12,Which of the following numbers is the least?,Confuses least and most
731,Believes that the third vertex of a triangle will share coordinates with both of the other vertices,Coordinates of a Triangle Vertex. CorrectAnswer: A.,Geometry,"(2, 7)","(4, 5)","If the coordinates of two vertices of a triangle are (2, 3) and (5, 7), what could be the coordinates of the third vertex?",Believes that the third vertex of a triangle will share coordinates with both of the other vertices.
738,Believes there are 100cl in a millilitre,Understanding the relationship between litres and millilitres. CorrectAnswer: A.,Measurement and Conversion,200,2000,How many millilitres are in 2 litres?,Believes there are 100 cl in a millilitre
740,"Does not recognise that for a shape to be reflected it will be ""flipped""",Reflection of shapes,Geometry,The reflected triangle is rotated around the line of reflection.,The reflected triangle is flipped over the line of reflection.,"If a triangle is reflected over a line, which of the following statements is true about the reflected triangle?","Does not recognise that for a shape to be reflected it will be ""flipped"""
741,Includes too many possibilites when given an 'at least' question in probability,Probability of at least one event occurring,Probability,\(\frac{42}{42}\),\(\frac{35}{42}\),"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. What is the probability of drawing at least one red marble in two draws without replacement?","The student includes all possible outcomes, including those that do not meet the ""at least one red marble"" condition, leading to an incorrect probability of 1."
744,"When dividing a fraction by an integer, thinks they can just multiply instead",Division of a Fraction by an Integer,Arithmetic Operations with Fractions,\(\frac{3}{2}\),\(\frac{3}{8}\),What is the result of dividing the fraction \(\frac{3}{4}\) by the integer 2?,"When dividing a fraction by an integer, thinks they can just multiply instead."
748,"When finding the negative power of a negative power, assumes they can ignore one of the negatives",Negative Exponents and Negative Bases,Exponents and Powers,\(-8\),\(\frac{1}{-8}\),What is the value of \((-2)^{-3}\)?,"When finding the negative power of a negative power, assumes they can ignore one of the negatives."
749,"When asked to subtract a fraction from a unit, removes the unit value from the denominator",Subtracting a fraction from a whole number. CorrectAnswer: A.,Arithmetic with Fractions,\(\frac{1}{1}\),\(\frac{1}{4}\),What is the result of subtracting \(\frac{3}{4}\) from 1?,"When asked to subtract a fraction from a unit, removes the unit value from the denominator."
750,"When using the capture-recapture method, confuses the order of the calculation to find best estimate of population",Capture-Recapture Method,Statistics and Probability,375,750,"In a wildlife study, 100 animals were captured, tagged, and released. Later, 150 animals were captured, and it was found that 20 of them were already tagged. Using the capture-recapture method, what is the best estimate of the total population of animals in the area?","When using the capture-recapture method, confuses the order of the calculation to find the best estimate of population."
752,Thinks that when dividing numbers in standard form you subtract the number and divide the power,Division of Numbers in Standard Form,Standard Form and Scientific Notation,\( 0.5 \times 10^2 \) or \( 5 \times 10^{-2} \),\( 0.5 \times 10^2 \) or \( 5 \times 10^1 \),"If you divide \( 3 \times 10^5 \) by \( 6 \times 10^3 \), what is the result in standard form?",Thinks that when dividing numbers in standard form you subtract the number and divide the power.
753,Believes when you plot a linear sequence it doesn't give a straight line,Linear sequences and their graphical representation. CorrectAnswer: A. ,Algebra.,A curve.,A straight line.,"When you plot the points of the linear sequence \( y = 2x + 3 \) on a coordinate plane, what shape do the points form?",Believes when you plot a linear sequence it doesn't give a straight line.
755,Does not know which letters can be subtracted in Roman Numerals,Subtraction in Roman Numerals,Roman Numerals,XV,V,What is the result of the Roman numeral subtraction: XIV - IX?,Does not know which letters can be subtracted in Roman Numerals
761,Subtracts instead of adds when finding a midpoint,Midpoint Formula,Geometry,"(6, 6)","(5, 8)","Find the midpoint of the line segment joining the points (2, 5) and (8, 11).",Subtracts instead of adds when finding a midpoint
763,Believes 'inclusive' does not include the end value,Sum of an arithmetic series. CorrectAnswer: A.,Arithmetic,54,55,What is the sum of all integers from 1 to 10 inclusive?,Believes 'inclusive' does not include the end value
768,Finds the circumference of the whole circle instead of arc length ,Arc Length Calculation,Geometry,62.83 meters,15.71 meters,"A circular track has a radius of 10 meters. If a runner completes a quarter of the track, what is the length of the arc that the runner covers?",Finds the circumference of the whole circle instead of arc length
769,Confuses the direction of vectors when adding or subtracting,Vector Subtraction,Vector Algebra,"\((1, 5)\)","\((5, 3)\)","If vector \(\mathbf{u} = (3, 4)\) and vector \(\mathbf{v} = (-2, 1)\), what is the result of \(\mathbf{u} - \mathbf{v}\)?",Confuses the direction of vectors when adding or subtracting.
770,Believes class width represents area of the bar in a histogram,Understanding of class width and area in histograms. CorrectAnswer: A. ,Statistics,The area of the bar is doubled.,The area of the bar remains the same.,"In a histogram, if the class width is doubled, what happens to the area of the bar representing that class?",Believes class width represents area of the bar in a histogram.
771,Believes that the solutions to x<b or x>b also satisfy ax<b or ax>b,Solving Linear Inequalities,Algebra,\( x < 4 \) and \( x > 4 \),\( x < 4 \),Solve the inequality \( 3x < 12 \) and determine the range of values for \( x \).,Believes that the solutions to \( x < b \) or \( x > b \) also satisfy \( ax < b \) or \( ax > b \).
774,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer",Subtracting Mixed Numbers,Arithmetic,\( 2 \frac{1}{2} \),\( 1 \frac{1}{2} \),What is the result of \( 5 \frac{1}{4} - 3 \frac{3}{4} \)?,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer."
775,"When adding variables with powers, thinks they can add the powers",Exponent rules for multiplication. CorrectAnswer: A.,Algebra,\( x^6 \),\( x^5 \),What is the result of \( x^2 \cdot x^3 \)?,"When adding variables with powers, thinks they can add the powers."
776,Does not know how to compare size of angles on a grid without a protractor,Comparing angles without a protractor.,Geometry.,Angle A is larger.,Angle B is larger.,"Which angle is larger, angle A or angle B, if angle A is drawn with a wider opening but both angles are drawn on a grid without any measurements?",Does not know how to compare size of angles on a grid without a protractor.
777,"When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around",Understanding Ratios and Fractions. CorrectAnswer: A.,Ratios and Fractions,4/7,3/7,"If the ratio of boys to girls in a class is 3:4, what fraction of the class is made up of boys?","When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around."
778,Struggles to visualise the new position of an object after transformations,Rotational transformations of geometric shapes,Geometry,South,East,"A square is rotated 90 degrees clockwise around its center. If the original position of the square had its top side facing north, what direction will the top side of the square face after the rotation?",Struggles to visualise the new position of an object after transformations
781,"When reading decimals on a number line, assumes each dash is 0.2",Reading Decimals on a Number Line. CorrectAnswer: A.,Number Line and Decimals,1.2,1.0,"On a number line, if the first dash after 0 is at 0.2, what number is at the fifth dash?","When reading decimals on a number line, assumes each dash is 0.2"
786,"Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer.",Vector multiplication by a scalar. CorrectAnswer: A. ,Linear Algebra,"(24, 34)","(8, 12)","If you multiply the vector \(\vec{v} = (2, 3)\) by the integer 4, what is the resulting vector?","Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer."
787,Does not scale up a ratio to find an equivalent value,Scaling Ratios,Ratios and Proportions,9,16,"If the ratio of boys to girls in a classroom is 3:4, and there are 12 boys, how many girls are there?",Does not scale up a ratio to find an equivalent value
788,Believes all linear graphs show direct proportion,Understanding of direct proportion in linear graphs. CorrectAnswer: A.,Algebra,A graph of y = 2x,A graph of y = 2x + 3,Which of the following linear graphs does NOT show direct proportion?,Believes all linear graphs show direct proportion
798,Believes all numbers in a prime factor tree are included in the list of prime factors,Prime Factorization,Number Theory,"2, 3, 5, 6","2, 3, 5",What are the prime factors of 30?,Believes all numbers in a prime factor tree are included in the list of prime factors
799,Only considers elements in one set when asked to find the union of multiple sets,Union of Sets. CorrectAnswer: A.,Set Theory,"\( \{1, 2, 3\} \)","\( \{1, 2, 3, 4\} \)","What is the union of the sets \( A = \{1, 2, 3\} \) and \( B = \{2, 3, 4\} \)?",Only considers elements in one set when asked to find the union of multiple sets.
802,"Thinks that when drawing the elevation, the top layer does not need to be included ",Drawing Elevation of 3D Objects. CorrectAnswer: A. ,Geometry,"Only the bottom and middle layers, excluding the top layer.","All layers, including the top layer.","When drawing the elevation of a 3D object, which layers should be included in the elevation drawing?","Thinks that when drawing the elevation, the top layer does not need to be included."
803,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) ,Understanding consistent scaling on a number line. CorrectAnswer: A.,Number Line and Scale,7,8,"On a number line, the first mark is at 2 and the next mark is at 5. If the scale is consistent, what is the value at the third mark?",Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value)
805,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line,Transformations in the Coordinate Plane. CorrectAnswer: A.,Geometry,"(4, -3)","(-4, -3)","What is the result of reflecting the point (3, 4) over the x-axis and then rotating it 90 degrees counterclockwise about the origin?",Believes a rotation and a reflection can be combined by applying the rotation to the mirror line.
810,Believes the number outside the circles in a Venn represents the intersection,Understanding the placement of numbers in a Venn diagram. CorrectAnswer: A. <|eot_id|>,Set Theory,The number of elements that are in both set A and set B (the intersection).,The number of elements that are not in set A or set B.,"In a Venn diagram, if there are two circles representing sets A and B, and the number 10 is placed outside both circles, what does this number represent?",Believes the number outside the circles in a Venn diagram represents the intersection.
817,Believes adding numbers together gives the highest common factor,Highest Common Factor (HCF),Number Theory,30,6,What is the highest common factor (HCF) of 12 and 18?,Believes adding numbers together gives the highest common factor
818,Believes the median is the category with the median frequency,Median of categorical data,Statistics,Strawberry,Chocolate,"In a survey of 100 people, the number of people who prefer each of the four flavors of ice cream is as follows: Vanilla (25), Chocolate (30), Strawberry (20), and Mint (25). What is the median flavor of ice cream based on the number of people who prefer each flavor?",Believes the median is the category with the median frequency
819,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis",Cumulative Frequency Diagrams. CorrectAnswer: A. ,Statistics,"The upper bound of the class interval 20-30 (i.e., 30).",The cumulative frequency up to the class interval 20-30.,"When drawing a cumulative frequency diagram for the class intervals 0-10, 10-20, 20-30, and 30-40, what value should be plotted on the vertical axis for the class interval 20-30?","When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis."
822,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down",Rounding to the nearest tenth. CorrectAnswer: A. ,Rounding Numbers,34.5,34.6,What is 34.567 rounded to the nearest tenth?,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down."
824,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number",Rounding to a specific decimal place. CorrectAnswer: A. ,Arithmetic,5,4.7,What is the result of rounding the number 4.67 to one decimal place?,"Believes rounding to 1 decimal place means rounding to the nearest integer, regardless of the value of the number."
825,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole ",Converting mixed numbers to improper fractions. CorrectAnswer: A.,Fractions,\( \frac{12}{4} \),\( \frac{13}{4} \),Convert the mixed number \( 3 \frac{1}{4} \) to an improper fraction.,"Thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole number."
826,Confuses intersection and universal set,Intersection of Sets,Set Theory,"\{1, 2, 3, 4, 5, 6\}","\{3, 4\}","What is the intersection of the sets \( A = \{1, 2, 3, 4\} \) and \( B = \{3, 4, 5, 6\} \)?",Confuses intersection and universal set
827,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor,Mode and Frequency Distribution,Statistics,The mode is also multiplied by 3.,The mode remains the same.,"A frequency table shows the number of times each value appears in a dataset. If all frequencies in the table are multiplied by 3, what happens to the mode of the dataset?",Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor.
830,Gives an example of a factor instead of counting how many total factors a number has,Counting Factors of a Number. CorrectAnswer: A.,Number Theory,6,9,How many factors does the number 36 have?,"A misconception you are given. For example, a student might list the factors 1, 2, 3, 4, 6, 9, 12, 18, and 36 but only count the first six factors (1, 2, 3, 4, 6, 9) instead of all nine."
831,Thinks subtraction calculates how many in ,Subtraction as removal. CorrectAnswer: A.,Arithmetic,22,8,"If you have 15 apples and you give away 7 apples, how many apples do you have left?",Thinks subtraction calculates how many in total.
837,Believes that rounding parts of a fraction in different directions means the answer will be the same. ,Rounding Fractions,Arithmetic and Rounding,1,2,What is the result of rounding the fraction \( \frac{123.456}{78.901} \) to the nearest whole number?,Believes that rounding parts of a fraction in different directions means the answer will be the same.
841,Does not subtract 2 from the number of sides when finding the sum of interior angles,Sum of interior angles of a polygon. CorrectAnswer: A.,Geometry,1620°,1440°,What is the sum of the interior angles of a decagon (10-sided polygon)?,Does not subtract 2 from the number of sides when finding the sum of interior angles
844,Thinks there are 100mm in a metre,Conversion between meters and millimeters. CorrectAnswer: A. ,Measurement,250 mm,2500 mm,How many millimeters are in 2.5 meters?,Thinks there are 100mm in a metre
846,Thinks there are 1000ml in a centilitre,Understanding the conversion between centilitres and millilitres. CorrectAnswer: A. ,Measurement and Conversion.,5000 millilitres.,50 millilitres.,How many millilitres are in 5 centilitres?,Thinks there are 1000ml in a centilitre.
849,Thinks the nth term is when the value of the term is n,Finding the nth term of an arithmetic sequence. CorrectAnswer: A.,Arithmetic Sequences,5,11,What is the 5th term of the arithmetic sequence where the first term is 3 and the common difference is 2?,Thinks the nth term is when the value of the term is n
850,Thinks there are 10mm in a metre,Conversion between meters and millimeters. CorrectAnswer: A. ,Measurement,200 mm,2000 mm,How many millimeters are in 2 meters?,Thinks there are 10mm in a metre
853,Does not know how to check tessellation,Tessellation of shapes. CorrectAnswer: A.,Geometry,Regular pentagons,Equilateral triangles,Which of the following shapes can tessellate the plane without gaps or overlaps?,Does not know how to check tessellation
854,Divided by 100 rather than multiplied by 100,Percentage Increase,Arithmetic,$0.50,$100,"If the price of a product is increased by 100%, what is the new price if the original price was $50?",Divided by 100 rather than multiplied by 100
855,Believes integers can have decimal places,Understanding of integers and square roots. CorrectAnswer: A. ,Arithmetic,4.0,4,What is the integer value of \( \sqrt{16} \)?,Believes integers can have decimal places
856,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded.",Understanding and shading fractions of a shape. CorrectAnswer: A. ,Fractions,5,3,"If you need to shade \(\frac{3}{5}\) of a rectangle divided into 5 equal parts, how many parts should you shade?","When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded."
857,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer",Solving equations with reciprocals. CorrectAnswer: A. ,Algebra,\( x = 3 \),\( x = \frac{1}{3} \),Solve for \( x \) in the equation \( \frac{1}{x} = 3 \).,"When the unknown (e.g., \( x \)) in an equation is a denominator, gives the value of \( \frac{1}{x} \) rather than \( x \) as the answer."
859,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting,Factoring the difference of two squares.,Algebra,\( (x - 16)(x + 16) \),\( (x - 4)(x + 4) \),Factorize the expression \( x^2 - 16 \).,Believes they can factorize a difference of two squares by placing the constant in both brackets without square rooting.
861,Reads a power as a normal digit,Exponentiation and Multiplication,Arithmetic,18,72,What is the value of \( 2^3 \times 3^2 \)?,Reads a power as a normal digit
862,Does not understand equivalent ratios,Understanding and applying equivalent ratios. CorrectAnswer: A.,Ratios and Proportions,9,16,"If the ratio of boys to girls in a class is 3:4, and there are 12 boys, how many girls are there?",Does not understand equivalent ratios
865,Does not recognise a unit of mass,Units of Mass,Measurement and Units,Kilometer (km),Kilogram (kg),Which of the following is a unit of mass?,Does not recognise a unit of mass
869,Believes multiplying together prime factors that are not shared gives the highest common factor,Highest Common Factor (HCF),Number Theory,2,6,What is the highest common factor (HCF) of 18 and 24?,Believes multiplying together prime factors that are not shared gives the highest common factor.
873,Believes that we cannot calculate the mean of negative numbers,Calculation of the mean of a set of numbers. CorrectAnswer: A. ,Arithmetic,Cannot be calculated,-5,"What is the mean of the numbers -3, -5, and -7?",Believes that we cannot calculate the mean of negative numbers
881,adds all given dimensions when calculating area,Area of a rectangle. CorrectAnswer: A.,Geometry,13 square units,40 square units,"If a rectangle has a length of 8 units and a width of 5 units, what is the area of the rectangle?",Adds all given dimensions when calculating area
883,"Believes mirror line must lie on a grid line, not in between grid lines",Reflection over a vertical line. CorrectAnswer: A.,Geometry,"(1, 4)","(2, 4)","In the coordinate plane, a point (3, 4) is reflected over a mirror line. If the mirror line is the vertical line x = 2.5, what are the coordinates of the reflected point?","Believes mirror line must lie on a grid line, not in between grid lines."
884,"When asked for more, find the total",Perimeter of a rectangle. CorrectAnswer: A.,Geometry,96 units,40 units,"If a rectangle has a length of 12 units and a width of 8 units, what is the perimeter of the rectangle?","When asked for the perimeter, students might multiply the length and width instead of adding them."
885,Thinks they can simplify algebraic fractions by cancelling unlike variables,Simplifying algebraic fractions.,Algebra,\(\frac{3 + 4}{2 + 3} = \frac{7}{5}\),The fraction cannot be simplified further.,Simplify the algebraic fraction \(\frac{3x + 4y}{2x + 3y}\).,Thinks they can simplify algebraic fractions by cancelling unlike variables.
886,Believes that prime numbers cannot be even,Prime Numbers,Number Theory,4,2,Which of the following numbers is a prime number?,Believes that prime numbers cannot be even
887,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint",Linear Interpolation,Statistics,15,10,"A frequency distribution table shows that the class interval 10-20 contains the value 15. If the frequency of this class is 20, and we use linear interpolation to estimate the frequency at 15, what is the estimated frequency at 15?","When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint."
889,"Believes when you plot a sequence, the line always passes through (0, 0)",Sequence and Linear Functions,Algebra,"(0, 0)","(1, 3)","Consider the sequence defined by the formula \( a_n = 2n + 1 \). If you plot the first few terms of this sequence on a coordinate plane, which of the following points will the line pass through?","Believes when you plot a sequence, the line always passes through (0, 0)"
892,Believes each vertical line on a box plot represents 1 piece of data,Understanding of box plots,Statistics,5 (each vertical line represents 1 piece of data),5,"In a box plot representing the test scores of a class, if there are 5 vertical lines, how many individual test scores are represented by these lines?",Believes each vertical line on a box plot represents 1 piece of data
896,"When adding fractions with identical numerators, leaves the numerator and adds the denominators",Adding Fractions with Different Denominators,Arithmetic with Fractions,\(\frac{2}{8}\),\(\frac{16}{15}\),What is the result of adding the fractions \(\frac{2}{3} + \frac{2}{5}\)?,"When adding fractions with identical numerators, leaves the numerator and adds the denominators."
897,Does not recognise an example of the alternate segment theorem,Alternate Segment Theorem,Geometry,70 degrees,35 degrees,"In the given circle, a tangent line touches the circle at point P. A chord is drawn from point P to another point Q on the circle. If the angle between the tangent and the chord is 35 degrees, what is the measure of the angle subtended by the chord PQ at the circumference of the circle?",Does not recognise an example of the alternate segment theorem
899,Does not recognise parallel lines angle rules,Corresponding Angles Postulate. CorrectAnswer: A.,Geometry,110 degrees,70 degrees,"If two parallel lines are cut by a transversal, and one of the corresponding angles is 70 degrees, what is the measure of the corresponding angle on the other parallel line?",Does not recognise parallel lines angle rules
903,"Has increased by the value of the first value, rather than the difference",Calculating Percentage Increase,Percentages and Proportions,25%,50%,"If the price of a product increased from $50 to $75, what is the percentage increase in the price?","Has increased by the value of the first value, rather than the difference."
908,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted",Simplifying Surds,Algebra,\( 4\sqrt{4} \),\( 4\sqrt{2} \),Simplify the expression \( 3\sqrt{2} + 2\sqrt{2} - \sqrt{2} \).,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted."
913,Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram,Conditional Probability without Replacement,Probability,\(\frac{5}{11}\),\(\frac{4}{11}\),"A bag contains 5 red marbles and 7 blue marbles. If you draw one red marble without replacement and then draw another marble, what is the probability that the second marble is also red?",Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram.
916,Thinks the fraction bar means multiply rather than divide,Multiplication of Fractions,Arithmetic with Fractions,\( \frac{6}{20} \) (simplified to \( \frac{3}{10} \)),\( \frac{6}{20} \),What is the value of \( \frac{3}{4} \times \frac{2}{5} \)?,Thinks the fraction bar means multiply rather than divide.
917,Believes every direct or inverse proportion question uses the formula p=kq,Understanding inverse proportion and its formula. CorrectAnswer: A.,Inverse Proportion,24,6,"If \( p \) and \( q \) are inversely proportional, and when \( p = 12 \), \( q = 3 \), what is the value of \( q \) when \( p = 6 \)?",Believes every direct or inverse proportion question uses the formula \( p = kq \).
918,Confuses x and y axes,Intercepts of linear equations. CorrectAnswer: A.,Algebra,"(3, 0)","(0, 3)",What is the coordinate of the point where the line \( y = 2x + 3 \) intersects the y-axis?,Confuses x and y axes
919,Believes the gradient of a speed-time graph is the distance,Interpretation of the gradient in speed-time graphs. CorrectAnswer: A. <|eot_id|>,Calculus,Distance,Acceleration,What does the gradient of a speed-time graph represent?,Believes the gradient of a speed-time graph is the distance
920,Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval,Cumulative Frequency in Grouped Data,Statistics,25,45,"In a frequency distribution table, the cumulative frequency for the interval 20-30 is 45. If a value within this interval is 25, what is the cumulative frequency for this value?",Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval.
921,Reads the wrong scale on the protractor when measuring acute angles,Measuring angles with a protractor. CorrectAnswer: A.,Geometry,145°,35°,What is the measure of the angle shown in the diagram below?,Reads the wrong scale on the protractor when measuring acute angles
928,Divides when converting to a larger unit,Conversion between milliliters and liters. CorrectAnswer: A.,Measurement and Conversion,5000 liters,0.5 liters,"If you have 500 milliliters of water and you want to convert it to liters, what is the correct conversion?",Divides when converting to a larger unit
929,"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size",Capture-Recapture Method,Statistics and Probability,120,300,"A wildlife researcher uses the capture-recapture method to estimate the population of a species in a forest. In the first capture, 50 animals were marked and released. In the second capture, 60 animals were caught, and 10 of them were found to be marked. What is the best estimate of the total population size in the forest?","When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size."
934,Thinks the subtraction sign means divide,Subtraction,Arithmetic,4,9,What is the result of \( 12 - 3 \)?,Thinks the subtraction sign means divide
938,"Thinks 1 square metre = 100,000 cubic centimetres",Understanding the relationship between square metres and cubic centimetres. CorrectAnswer: A.,Measurement and Conversion,"100,000 cubic centimetres","1,000,000 cubic centimetres",How many cubic centimetres are in 1 square metre?,"Thinks 1 square metre = 100,000 cubic centimetres"
939,Describes position to term rule using term to term rule,Position to Term Rule,Arithmetic Sequences,32,29,"Consider the sequence: 2, 5, 8, 11, ... What is the 10th term of this sequence?",Describes position to term rule using term to term rule
943,Divides by (n-2) rather than n when finding an interior angle,Interior angles of regular polygons. CorrectAnswer: A.,Geometry,140°,144°,What is the measure of an interior angle of a regular polygon with 10 sides?,Divides by (n-2) rather than n when finding an interior angle
945,Does not think a number can be a multiple of itself,Multiples and Divisibility,Number Theory,No,Yes,Is 12 a multiple of 12?,Does not think a number can be a multiple of itself
949,Confuses midpoint and gradient between two points,Midpoint Formula,Coordinate Geometry,"(4, 4)","(4, 5)","Find the midpoint of the line segment joining the points (2, 3) and (6, 7).",Confuses midpoint and gradient between two points
953,Believes you cannot find the modal category from a pie chart unless given the total frequency,Identifying the modal category from a pie chart. CorrectAnswer: A.,Statistics,Cannot be determined from the pie chart,Apples,"What is the modal category in the following pie chart, where each slice represents a different category of fruits sold in a store?",Believes you cannot find the modal category from a pie chart unless given the total frequency
956,Thinks that fractions involving a fraction as the denominator can just be read as mixed numbers,Division of fractions. CorrectAnswer: A.,Arithmetic,1.5,6,What is the value of the expression \(\frac{3}{\frac{1}{2}}\)?,Thinks that fractions involving a fraction as the denominator can just be read as mixed numbers.
957,Believes the mean must be an integer,Calculation of the mean,Statistics,2,3,"What is the mean of the numbers 1, 2, 3, 4, and 5?",Believes the mean must be an integer
958,Misunderstands how to calculate the upper bound in subtraction,Subtraction and solving for variables. CorrectAnswer: A.,Arithmetic,150,50,What is the largest possible value of \( x \) in the equation \( 100 - x = 50 \)?,Misunderstands how to calculate the upper bound in subtraction.
963,Thinks there are 50 minutes in 1 hour,Conversion between hours and minutes. CorrectAnswer: A. ,Time and Units,150 minutes,180 minutes,How many minutes are there in 3 hours?,Thinks there are 50 minutes in 1 hour
966,Gives an answer of 0 when there are no solutions to an equation.,Solving quadratic equations with complex solutions. CorrectAnswer: A. ,Algebra.,\( x = 0 \).,\( x = 2i \) or \( x = -2i \).,Solve the equation \( x^2 + 4 = 0 \).,Gives an answer of 0 when there are no real solutions to an equation.
967,"When solving simultaneous equations graphically, only gives one of two solutions",Solving simultaneous equations graphically. CorrectAnswer: A. ,Algebra,"The solution is \( (3, 7) \).","The solutions are \( (3, 7) \) and \( (-1, -1) \).","Consider the simultaneous equations \( y = x^2 - 4 \) and \( y = 2x + 1 \). When solving these equations graphically, what are the solutions?","When solving simultaneous equations graphically, only gives one of two solutions."
970,"In inverse proportion, believes k is the total of the two variables ",Inverse Proportion,Algebra,10,3,"If \( x \) and \( y \) are inversely proportional and \( x = 4 \) when \( y = 6 \), what is the value of \( y \) when \( x = 8 \)?","In inverse proportion, believes \( k \) is the total of the two variables."
973,Finds area of whole circle rather than area of sector,Area of a sector of a circle. CorrectAnswer: A.,Geometry,314.16 square units,52.36 square units,A sector of a circle has a central angle of 60 degrees and a radius of 10 units. What is the area of this sector?,Finds area of whole circle rather than area of sector
979,Thinks can combine the numerator and denominator after simplifying an algebraic fraction,Simplifying algebraic fractions.,Algebra,\( x + 2 \),\( \frac{x + 2}{2} \),Simplify the algebraic fraction \(\frac{2x^2 + 4x}{4x}\).,Thinks can combine the numerator and denominator after simplifying an algebraic fraction.
