QuestionId,MisconceptionId,CorrectAnswer,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
2094,586,A,Mixes up square numbers and prime numbers,Prime Numbers,Number Theory,12,11,What is the smallest prime number greater than 10?,Mixes up square numbers and prime numbers
2095,592,A,Thinks a fractional scale factor changes direction as well as size,Scale Factors and Transformations.  ,Geometry,The new shape is half the size of the original shape and in the opposite direction.,The new shape is half the size of the original shape but in the same direction.,"If a shape is scaled by a factor of 1/2, which of the following statements is true about the new shape?",Thinks a fractional scale factor changes direction as well as size.
2096,593,A,Thinks multiplying by a variable is the same as raising to the power of that variable,Multiplication vs. Exponentiation,Algebra,36,12,"If \( x = 2 \), what is the value of \( 3x \cdot x \)?",Thinks multiplying by a variable is the same as raising to the power of that variable.
2097,595,A,Believes the adjacent side is where the opposite side is in a right angled triangle,Pythagorean Theorem,Trigonometry,6 units,8 units,"In a right-angled triangle, if the length of the hypotenuse is 10 units and the length of the opposite side to the angle of interest is 6 units, what is the length of the adjacent side to the angle of interest?",Believes the adjacent side is where the opposite side is in a right-angled triangle.
2098,596,A,Chosen the longest value rather than the greatest,Greatest Common Divisor (GCD),Number Theory,24,6,What is the greatest common divisor (GCD) of 18 and 24?,Chosen the longest value rather than the greatest
2099,597,A,Thinks that to decrease by a percentage you just multiply by the decimal equivalent to that percentage,Decreasing a value by a percentage. ,Percentages and Proportions,$20 ,$80 ,"If the price of a product is decreased by 20%, what is the new price if the original price was $100?",Thinks that to decrease by a percentage you just multiply by the decimal equivalent to that percentage.
2100,598,A,"When subtracting a surd from an integer, just divides the integer by the number under the surd",Operations with Surds. ,Algebra,\( 2 \),\( 10 - 2\sqrt{5} \),What is the result of \( 10 - 2\sqrt{5} \)?,"When subtracting a surd from an integer, just divides the integer by the number under the surd."
2101,605,A,Believes the sin graph relates to the tan function,Period of the sine function. ,Trigonometry,\( \pi \),\( 2\pi \),What is the period of the function \( y = \sin(x) \)?,Believes the sin graph relates to the tan function
2102,607,A,Thinks the area of a sector is theta/360 x r x pi (forgetting the radius is squared),Area of a Sector,Geometry,3蟺,6蟺,What is the area of a sector with a radius of 6 units and a central angle of 60 degrees?,Thinks the area of a sector is \(\frac{\theta}{360} \times r \times \pi\) (forgetting the radius is squared)
2103,610,A,Does not recognise how to write a list of prime factors from a factor tree,Prime Factorization from Factor Trees,Number Theory,"6, 7, 2, 3","2, 3, 7",What are the prime factors of 42 based on the factor tree below?,Does not recognise how to write a list of prime factors from a factor tree
2104,612,A,"Believes that when a shape is enlarged, the area rather than the scale factor is squared",Scale Factor and Area of Enlarged Shapes,Geometry,3,9,"If a rectangle is enlarged by a scale factor of 3, what is the scale factor by which the area of the rectangle is increased?","Believes that when a shape is enlarged, the area rather than the scale factor is squared."
2105,613,A,Thinks 0.3 = 1/3,Decimal Representation of Fractions.  ,Arithmetic and Fractions,0.3,0.333...,What is the decimal equivalent of the fraction 1/3?,Thinks 0.3 = 1/3
2106,615,A,Adds rather than subtracts when using Pythagoras to find a shorter side,Pythagorean Theorem,Geometry,18 units,5 units,"In a right triangle, the lengths of the two legs are 5 units and 12 units. What is the length of the shorter leg if the hypotenuse is 13 units?",Adds rather than subtracts when using Pythagoras to find a shorter side
2107,622,A,Thinks the gradient of a line is found from 2 points by finding the length of that line between those points,Gradient of a line. ,Algebra,5,4月3日,"What is the gradient of the line passing through the points (2, 3) and (5, 7)?",Thinks the gradient of a line is found from 2 points by finding the length of that line between those points.
2108,627,A,Does not realise similar has a specific mathematical meaning,Solving linear equations. ,Algebra,\( x = 6 \),\( x = 2 \),What is the value of \( x \) in the equation \( 3x + 4 = 10 \)?,"Does not realize that ""similar"" has a specific mathematical meaning."
2109,632,A,Confuses range and interquartile range,Range of a data set. ,Statistics,10,17,"What is the range of the following set of numbers: 3, 7, 12, 15, 20?",Confuses range and interquartile range
2110,634,A,Does not know the term numerator,Adding fractions. ,Arithmetic,\(\frac{4}{6}\),\(\frac{5}{4}\),What is the result when you add the fractions \(\frac{3}{4}\) and \(\frac{1}{2}\)?,Does not know the term numerator
2111,636,A,Mixes up constant and coefficient in a worded substitution problem,Substitution in algebraic expressions,Algebra,17,23,"If \( x = 3 \) and \( y = 4 \), what is the value of \( 5x + 2y \)?",Mixes up constant and coefficient in a worded substitution problem
2112,640,A,Does not find the angle being asked,Properties of right triangles.  ,Geometry,\(30^\circ\),\(60^\circ\),"In a right triangle, if one of the acute angles is \(30^\circ\), what is the measure of the other acute angle?",The student assumes that both acute angles in a right triangle are the same.
2113,645,A,Believes enlargement by scale factor -1 exchanges the x and y coordinates,Enlargement and Scale Factor,Geometry,"(-4, -3)","(-3, -4)","What are the coordinates of the point (3, 4) after an enlargement by a scale factor of -1 centered at the origin?",Believes enlargement by scale factor -1 exchanges the x and y coordinates
2114,647,A,Thinks co-interior angles sum to 90 degrees,Co-interior angles and parallel lines.,Geometry,"Yes, the lines are parallel.","No, the lines are not parallel.","If two lines are cut by a transversal and the co-interior angles are 110 degrees and 70 degrees, are the lines parallel?",Thinks co-interior angles sum to 90 degrees.
2115,660,A,Thinks that the perimeter on a square grid is the number of squares inside that are touching the perimeter of the shape,Perimeter of a shape on a square grid. ,Geometry,9,12,"What is the perimeter of the shape formed by connecting the points (0,0), (0,3), (3,3), and (3,0) on a square grid?",Thinks that the perimeter on a square grid is the number of squares inside that are touching the perimeter of the shape.
2116,662,A,Believes that a number divided by itself equals the original number,Division of a number by itself.  ,Arithmetic,8,1,What is the result of \( 8 \div 8 \)?,Believes that a number divided by itself equals the original number.
2117,665,A,Believes that the gradient of a horizontal line is undefined,Gradient of a horizontal line.  ,Algebra,Undefined,0,What is the gradient of the line represented by the equation \( y = 5 \)?,Believes that the gradient of a horizontal line is undefined
2118,667,A,Only considers elements in one set when asked to find the intersection of multiple sets,Intersection of Sets,Set Theory,"\{1, 2, 3, 4\}","\{3, 4\}","What is the intersection of the sets \( A = \{1, 2, 3, 4\} \) and \( B = \{3, 4, 5, 6\} \)?",Only considers elements in one set when asked to find the intersection of multiple sets.
2119,675,A,"When interpolating using a line of best fit, reads off the value for the closest point to the line rather than the value given by the line of best fit ",Interpolation using a line of best fit.,Statistics and Probability,6,7,"A line of best fit has been drawn through a set of data points. If the x-coordinate of a point is 5, and the line of best fit passes through the point (5, 7), what is the y-coordinate of the point on the line of best fit at x = 5?","When interpolating using a line of best fit, reads off the value for the closest point to the line rather than the value given by the line of best fit."
2120,676,A,Does not recognise that an equation will stay balanced if all terms are multiplied/divided by the same amount,Solving linear equations. ,Algebra,\( x = 5 \),\( x = 3 \),"If \( 3x + 6 = 15 \), what is the value of \( x \)?",Does not recognise that an equation will stay balanced if all terms are multiplied/divided by the same amount.
2121,677,A,"When asked to subtract a fraction from a unit, removes the unit value from the numerator.",Subtracting a fraction from a whole number.  ,Arithmetic with Fractions,\(-\frac{3}{4}\),\(\frac{1}{4}\),What is the result of subtracting \(\frac{3}{4}\) from 1?,"When asked to subtract a fraction from a unit, removes the unit value from the numerator."
2122,678,A,Believes you cannot find the mode from a pie chart,Mode from categorical data,Statistics,Cannot be determined from a pie chart,Apples,What is the mode of the data represented in the pie chart below?,Believes you cannot find the mode from a pie chart
2123,679,A,Gives a fraction when asked for a decimal,Converting Fractions to Decimals. ,Fractions and Decimals,3月8日,0.375,What is the decimal equivalent of the fraction 3/8?,A misconception you are given.
2124,681,A,"When drawing a cumulative frequency diagram, thinks you plot cumulative frequency on the horizontal axis",Cumulative Frequency Diagram Axis Placement.  ,Statistics,Horizontal axis (x-axis),Vertical axis (y-axis),"When drawing a cumulative frequency diagram, which axis should you plot the cumulative frequency on?","When drawing a cumulative frequency diagram, thinks you plot cumulative frequency on the horizontal axis"
2125,682,A,Thinks millimetres and centimetres are the same,Conversion between millimetres and centimetres.  ,Measurement and Conversion.,150 centimetres.,15 centimetres.,"If a pencil is 150 millimetres long, how long is it in centimetres?",Thinks millimetres and centimetres are the same.
2126,683,A,"When factorising, believes they can choose different factors for each term",Factorisation of polynomials.  ,Algebra,\( 3x(2x) + 3x(3) \),\( 3x(2x + 3) \),Factorise the expression \( 6x^2 + 9x \).,"When factorising, believes they can choose different factors for each term."
2127,689,A,"When multiplying algebraic terms written in the same base, adds the base variables and multiplies the powers.",Exponentiation of Powers,Algebra,\( x^7 \),\( x^{12} \),Simplify the expression \( (x^3)^4 \).,"When multiplying algebraic terms written in the same base, adds the base variables and multiplies the powers."
2128,692,A,Only uses two terms of a sequence to work out a term-to-term rule,Term-to-Term Rule in Arithmetic Sequences. ,Arithmetic Sequences,8,14,"What is the 5th term of the sequence where each term is 3 more than the previous term, starting with 2?",Only uses two terms of a sequence to work out a term-to-term rule
2129,693,A,Does not divide to get a unitary amount before scaling up,Unitary method in proportional reasoning. ,Proportional reasoning.,60 kilograms.,30 kilograms.,"If 5 bags of apples weigh 10 kilograms, how much would 15 bags of apples weigh?",Does not divide to get a unitary amount before scaling up.
2130,696,A,"In the middle of the total column or row of a two way table, adds the other totals (including overall total), rather than finding the difference",Two-way tables and their calculations.,Statistics and Probability,100,0,"In a two-way table, the total number of students is 120. The total number of students in the first row is 70, and the total number of students in the first column is 50. What is the number of students in the middle cell of the table?","In the middle of the total column or row of a two-way table, adds the other totals (including overall total), rather than finding the difference."
2131,697,A,Arithmetic error when multiplying by 7,Multiplication facts. ,Arithmetic,62,63,What is the product of 7 and 9?,Arithmetic error when multiplying by 7
2132,698,A,Believes each number on a clock face represents 1 minute,Understanding the movement of the minute hand on a clock.  ,Time and Clocks,3 minutes,15 minutes,"If the minute hand of a clock moves from 12 to 3, how many minutes have passed?",Believes each number on a clock face represents 1 minute
2133,700,A,"When calculating missing side length from perimeter, gives the total missing length instead of dividing for one side.",Perimeter of a rectangle,Geometry,10 units,5 units,"A rectangle has a perimeter of 30 units. If the length of the rectangle is 10 units, what is the width of the rectangle?","When calculating the missing side length from the perimeter, gives the total missing length instead of dividing for one side."
2134,701,A,Does not know the meaning of vertically opposite,Vertically opposite angles are equal. ,Geometry,110 degrees,70 degrees,"Two lines intersect at a point, forming four angles. If one of the angles is 70 degrees, what is the measure of the angle vertically opposite to it?",Does not know the meaning of vertically opposite
2135,703,A,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd",Simplifying Surds.,Algebra.,\( 5\sqrt{2} \).,\( 7\sqrt{2} \).,Simplify the expression \( \sqrt{18} + \sqrt{32} \).,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd."
2136,705,A,"When describing the relationship shown on a scatter graphs, gets the effect on the dependent variable backwards",Interpreting Scatter Plots,Statistics and Probability,The test scores decrease.,The test scores increase.,"The scatter plot below shows the relationship between the number of hours studied and the test scores of a group of students. If the number of hours studied increases, what happens to the test scores?","When describing the relationship shown on a scatter graph, gets the effect on the dependent variable backwards."
2137,707,A,Believes that fractions with the same denominator are equal,Equivalent fractions. ,Fractions,\(\frac{5}{8}\),\(\frac{6}{16}\),Which of the following fractions is equal to \(\frac{3}{8}\)?,Believes that fractions with the same denominator are equal.
2138,714,A,Uses the other part instead of total frequency as denominator for relative frequency,Relative Frequency,Statistics,0.6,0.4,"In a survey of 100 people, 40 people said they prefer tea over coffee. What is the relative frequency of people who prefer tea over coffee?",Uses the other part (people who prefer coffee) instead of the total frequency as the denominator for relative frequency.
2139,716,A,Rounds a decimal instead of using a fraction in division,Decimal division,Arithmetic,3,3.4,What is the result of dividing 17 by 5?,Rounds a decimal instead of using a fraction in division
2140,720,A,Believes that 'less than' includes the number ,Understanding the meaning of 'less than'.  ,Number Comparison,10,9,Which of the following numbers is less than 10?,Believes that 'less than' includes the number.
2141,721,A,Does not know what the symbol for equal lengths means,Understanding of tick marks in geometry diagrams.  ,Geometry,The two line segments are parallel.,The two line segments are of equal length.,"In a geometry diagram, two line segments are marked with a single tick mark. What does this indicate about the two line segments?",Does not know what the symbol for equal lengths means.
2142,722,A,Thinks the fraction button finds the reciprocal,Multiplication of fractions. ,Arithmetic,\( 8 \),\( \frac{3}{8} \),What is the result of \( \frac{1}{2} \times \frac{3}{4} \)?,Thinks the fraction button finds the reciprocal
2143,726,A,Believes they can reverse a percentage increase or decrease by dividing by the decimal multiplier of the original change,Reversing Percentage Changes,Percentage and Proportions,20%,16.67%,"If the price of a product was increased by 20%, and you want to return it to its original price, what percentage decrease should you apply to the new price?",Believes they can reverse a percentage increase or decrease by dividing by the decimal multiplier of the original change.
2144,728,A,Confuses least and most,Understanding of numerical order.  ,Arithmetic,21,12,Which of the following numbers is the least?,Confuses least and most
2145,731,A,Believes that the third vertex of a triangle will share coordinates with both of the other vertices,Coordinates of a Triangle Vertex. ,Geometry,"(2, 7)","(4, 5)","If the coordinates of two vertices of a triangle are (2, 3) and (5, 7), what could be the coordinates of the third vertex?",Believes that the third vertex of a triangle will share coordinates with both of the other vertices.
2146,738,A,Believes there are 100cl in a millilitre,Understanding the relationship between litres and millilitres. ,Measurement and Conversion,200,2000,How many millilitres are in 2 litres?,Believes there are 100 cl in a millilitre
2147,740,A,"Does not recognise that for a shape to be reflected it will be ""flipped""",Reflection of shapes,Geometry,The reflected triangle is rotated around the line of reflection.,The reflected triangle is flipped over the line of reflection.,"If a triangle is reflected over a line, which of the following statements is true about the reflected triangle?","Does not recognise that for a shape to be reflected it will be ""flipped"""
2148,741,A,Includes too many possibilites when given an 'at least' question in probability,Probability of at least one event occurring,Probability,\(\frac{42}{42}\),\(\frac{35}{42}\),"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. What is the probability of drawing at least one red marble in two draws without replacement?","The student includes all possible outcomes, including those that do not meet the ""at least one red marble"" condition, leading to an incorrect probability of 1."
2149,744,A,"When dividing a fraction by an integer, thinks they can just multiply instead",Division of a Fraction by an Integer,Arithmetic Operations with Fractions,\(\frac{3}{2}\),\(\frac{3}{8}\),What is the result of dividing the fraction \(\frac{3}{4}\) by the integer 2?,"When dividing a fraction by an integer, thinks they can just multiply instead."
2150,748,A,"When finding the negative power of a negative power, assumes they can ignore one of the negatives",Negative Exponents and Negative Bases,Exponents and Powers,\(-8\),\(\frac{1}{-8}\),What is the value of \((-2)^{-3}\)?,"When finding the negative power of a negative power, assumes they can ignore one of the negatives."
2151,749,A,"When asked to subtract a fraction from a unit, removes the unit value from the denominator",Subtracting a fraction from a whole number. ,Arithmetic with Fractions,\(\frac{1}{1}\),\(\frac{1}{4}\),What is the result of subtracting \(\frac{3}{4}\) from 1?,"When asked to subtract a fraction from a unit, removes the unit value from the denominator."
2152,750,A,"When using the capture-recapture method, confuses the order of the calculation to find best estimate of population",Capture-Recapture Method,Statistics and Probability,375,750,"In a wildlife study, 100 animals were captured, tagged, and released. Later, 150 animals were captured, and it was found that 20 of them were already tagged. Using the capture-recapture method, what is the best estimate of the total population of animals in the area?","When using the capture-recapture method, confuses the order of the calculation to find the best estimate of population."
2153,752,A,Thinks that when dividing numbers in standard form you subtract the number and divide the power,Division of Numbers in Standard Form,Standard Form and Scientific Notation,\( 0.5 \times 10^2 \) or \( 5 \times 10^{-2} \),\( 0.5 \times 10^2 \) or \( 5 \times 10^1 \),"If you divide \( 3 \times 10^5 \) by \( 6 \times 10^3 \), what is the result in standard form?",Thinks that when dividing numbers in standard form you subtract the number and divide the power.
2154,753,A,Believes when you plot a linear sequence it doesn't give a straight line,Linear sequences and their graphical representation.  ,Algebra.,A curve.,A straight line.,"When you plot the points of the linear sequence \( y = 2x + 3 \) on a coordinate plane, what shape do the points form?",Believes when you plot a linear sequence it doesn't give a straight line.
2155,755,A,Does not know which letters can be subtracted in Roman Numerals,Subtraction in Roman Numerals,Roman Numerals,XV,V,What is the result of the Roman numeral subtraction: XIV - IX?,Does not know which letters can be subtracted in Roman Numerals
2156,761,A,Subtracts instead of adds when finding a midpoint,Midpoint Formula,Geometry,"(6, 6)","(5, 8)","Find the midpoint of the line segment joining the points (2, 5) and (8, 11).",Subtracts instead of adds when finding a midpoint
2157,763,A,Believes 'inclusive' does not include the end value,Sum of an arithmetic series. ,Arithmetic,54,55,What is the sum of all integers from 1 to 10 inclusive?,Believes 'inclusive' does not include the end value
2158,768,A,Finds the circumference of the whole circle instead of arc length ,Arc Length Calculation,Geometry,62.83 meters,15.71 meters,"A circular track has a radius of 10 meters. If a runner completes a quarter of the track, what is the length of the arc that the runner covers?",Finds the circumference of the whole circle instead of arc length
2159,769,A,Confuses the direction of vectors when adding or subtracting,Vector Subtraction,Vector Algebra,"\((1, 5)\)","\((5, 3)\)","If vector \(\mathbf{u} = (3, 4)\) and vector \(\mathbf{v} = (-2, 1)\), what is the result of \(\mathbf{u} - \mathbf{v}\)?",Confuses the direction of vectors when adding or subtracting.
2160,770,A,Believes class width represents area of the bar in a histogram,Understanding of class width and area in histograms.  ,Statistics,The area of the bar is doubled.,The area of the bar remains the same.,"In a histogram, if the class width is doubled, what happens to the area of the bar representing that class?",Believes class width represents area of the bar in a histogram.
2161,771,A,Believes that the solutions to x<b or x>b also satisfy ax<b or ax>b,Solving Linear Inequalities,Algebra,\( x < 4 \) and \( x > 4 \),\( x < 4 \),Solve the inequality \( 3x < 12 \) and determine the range of values for \( x \).,Believes that the solutions to \( x < b \) or \( x > b \) also satisfy \( ax < b \) or \( ax > b \).
2162,774,A,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer",Subtracting Mixed Numbers,Arithmetic,\( 2 \frac{1}{2} \),\( 1 \frac{1}{2} \),What is the result of \( 5 \frac{1}{4} - 3 \frac{3}{4} \)?,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer."
2163,775,A,"When adding variables with powers, thinks they can add the powers",Exponent rules for multiplication. ,Algebra,\( x^6 \),\( x^5 \),What is the result of \( x^2 \cdot x^3 \)?,"When adding variables with powers, thinks they can add the powers."
2164,776,A,Does not know how to compare size of angles on a grid without a protractor,Comparing angles without a protractor.,Geometry.,Angle A is larger.,Angle B is larger.,"Which angle is larger, angle A or angle B, if angle A is drawn with a wider opening but both angles are drawn on a grid without any measurements?",Does not know how to compare size of angles on a grid without a protractor.
2165,777,A,"When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around",Understanding Ratios and Fractions. ,Ratios and Fractions,4月7日,3月7日,"If the ratio of boys to girls in a class is 3:4, what fraction of the class is made up of boys?","When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around."
2166,778,A,Struggles to visualise the new position of an object after transformations,Rotational transformations of geometric shapes,Geometry,South,East,"A square is rotated 90 degrees clockwise around its center. If the original position of the square had its top side facing north, what direction will the top side of the square face after the rotation?",Struggles to visualise the new position of an object after transformations
2167,781,A,"When reading decimals on a number line, assumes each dash is 0.2",Reading Decimals on a Number Line. ,Number Line and Decimals,1.2,1,"On a number line, if the first dash after 0 is at 0.2, what number is at the fifth dash?","When reading decimals on a number line, assumes each dash is 0.2"
2168,786,A,"Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer.",Vector multiplication by a scalar.  ,Linear Algebra,"(24, 34)","(8, 12)","If you multiply the vector \(\vec{v} = (2, 3)\) by the integer 4, what is the resulting vector?","Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer."
2169,787,A,Does not scale up a ratio to find an equivalent value,Scaling Ratios,Ratios and Proportions,9,16,"If the ratio of boys to girls in a classroom is 3:4, and there are 12 boys, how many girls are there?",Does not scale up a ratio to find an equivalent value
2170,788,A,Believes all linear graphs show direct proportion,Understanding of direct proportion in linear graphs. ,Algebra,A graph of y = 2x,A graph of y = 2x + 3,Which of the following linear graphs does NOT show direct proportion?,Believes all linear graphs show direct proportion
2171,798,A,Believes all numbers in a prime factor tree are included in the list of prime factors,Prime Factorization,Number Theory,"2, 3, 5, 6","2, 3, 5",What are the prime factors of 30?,Believes all numbers in a prime factor tree are included in the list of prime factors
2172,799,A,Only considers elements in one set when asked to find the union of multiple sets,Union of Sets. ,Set Theory,"\( \{1, 2, 3\} \)","\( \{1, 2, 3, 4\} \)","What is the union of the sets \( A = \{1, 2, 3\} \) and \( B = \{2, 3, 4\} \)?",Only considers elements in one set when asked to find the union of multiple sets.
2173,802,A,"Thinks that when drawing the elevation, the top layer does not need to be included ",Drawing Elevation of 3D Objects.  ,Geometry,"Only the bottom and middle layers, excluding the top layer.","All layers, including the top layer.","When drawing the elevation of a 3D object, which layers should be included in the elevation drawing?","Thinks that when drawing the elevation, the top layer does not need to be included."
2174,803,A,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) ,Understanding consistent scaling on a number line. ,Number Line and Scale,7,8,"On a number line, the first mark is at 2 and the next mark is at 5. If the scale is consistent, what is the value at the third mark?",Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value)
2175,805,A,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line,Transformations in the Coordinate Plane. ,Geometry,"(4, -3)","(-4, -3)","What is the result of reflecting the point (3, 4) over the x-axis and then rotating it 90 degrees counterclockwise about the origin?",Believes a rotation and a reflection can be combined by applying the rotation to the mirror line.
2176,810,A,Believes the number outside the circles in a Venn represents the intersection,Understanding the placement of numbers in a Venn diagram.  <|eot_id|>,Set Theory,The number of elements that are in both set A and set B (the intersection).,The number of elements that are not in set A or set B.,"In a Venn diagram, if there are two circles representing sets A and B, and the number 10 is placed outside both circles, what does this number represent?",Believes the number outside the circles in a Venn diagram represents the intersection.
2177,817,A,Believes adding numbers together gives the highest common factor,Highest Common Factor (HCF),Number Theory,30,6,What is the highest common factor (HCF) of 12 and 18?,Believes adding numbers together gives the highest common factor
2178,818,A,Believes the median is the category with the median frequency,Median of categorical data,Statistics,Strawberry,Chocolate,"In a survey of 100 people, the number of people who prefer each of the four flavors of ice cream is as follows: Vanilla (25), Chocolate (30), Strawberry (20), and Mint (25). What is the median flavor of ice cream based on the number of people who prefer each flavor?",Believes the median is the category with the median frequency
2179,819,A,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis",Cumulative Frequency Diagrams.  ,Statistics,"The upper bound of the class interval 20-30 (i.e., 30).",The cumulative frequency up to the class interval 20-30.,"When drawing a cumulative frequency diagram for the class intervals 0-10, 10-20, 20-30, and 30-40, what value should be plotted on the vertical axis for the class interval 20-30?","When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis."
2180,822,A,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down",Rounding to the nearest tenth.  ,Rounding Numbers,34.5,34.6,What is 34.567 rounded to the nearest tenth?,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down."
2181,824,A,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number",Rounding to a specific decimal place.  ,Arithmetic,5,4.7,What is the result of rounding the number 4.67 to one decimal place?,"Believes rounding to 1 decimal place means rounding to the nearest integer, regardless of the value of the number."
2182,825,A,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole ",Converting mixed numbers to improper fractions. ,Fractions,\( \frac{12}{4} \),\( \frac{13}{4} \),Convert the mixed number \( 3 \frac{1}{4} \) to an improper fraction.,"Thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole number."
2183,826,A,Confuses intersection and universal set,Intersection of Sets,Set Theory,"\{1, 2, 3, 4, 5, 6\}","\{3, 4\}","What is the intersection of the sets \( A = \{1, 2, 3, 4\} \) and \( B = \{3, 4, 5, 6\} \)?",Confuses intersection and universal set
2184,827,A,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor,Mode and Frequency Distribution,Statistics,The mode is also multiplied by 3.,The mode remains the same.,"A frequency table shows the number of times each value appears in a dataset. If all frequencies in the table are multiplied by 3, what happens to the mode of the dataset?",Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor.
2185,830,A,Gives an example of a factor instead of counting how many total factors a number has,Counting Factors of a Number. ,Number Theory,6,9,How many factors does the number 36 have?,"A misconception you are given. For example, a student might list the factors 1, 2, 3, 4, 6, 9, 12, 18, and 36 but only count the first six factors (1, 2, 3, 4, 6, 9) instead of all nine."
2186,831,A,Thinks subtraction calculates how many in ,Subtraction as removal. ,Arithmetic,22,8,"If you have 15 apples and you give away 7 apples, how many apples do you have left?",Thinks subtraction calculates how many in total.
2187,837,A,Believes that rounding parts of a fraction in different directions means the answer will be the same. ,Rounding Fractions,Arithmetic and Rounding,1,2,What is the result of rounding the fraction \( \frac{123.456}{78.901} \) to the nearest whole number?,Believes that rounding parts of a fraction in different directions means the answer will be the same.
2188,841,A,Does not subtract 2 from the number of sides when finding the sum of interior angles,Sum of interior angles of a polygon. ,Geometry,1620掳,1440掳,What is the sum of the interior angles of a decagon (10-sided polygon)?,Does not subtract 2 from the number of sides when finding the sum of interior angles
2189,844,A,Thinks there are 100mm in a metre,Conversion between meters and millimeters.  ,Measurement,250 mm,2500 mm,How many millimeters are in 2.5 meters?,Thinks there are 100mm in a metre
2190,846,A,Thinks there are 1000ml in a centilitre,Understanding the conversion between centilitres and millilitres.  ,Measurement and Conversion.,5000 millilitres.,50 millilitres.,How many millilitres are in 5 centilitres?,Thinks there are 1000ml in a centilitre.
2191,849,A,Thinks the nth term is when the value of the term is n,Finding the nth term of an arithmetic sequence. ,Arithmetic Sequences,5,11,What is the 5th term of the arithmetic sequence where the first term is 3 and the common difference is 2?,Thinks the nth term is when the value of the term is n
2192,850,A,Thinks there are 10mm in a metre,Conversion between meters and millimeters.  ,Measurement,200 mm,2000 mm,How many millimeters are in 2 meters?,Thinks there are 10mm in a metre
2193,853,A,Does not know how to check tessellation,Tessellation of shapes. ,Geometry,Regular pentagons,Equilateral triangles,Which of the following shapes can tessellate the plane without gaps or overlaps?,Does not know how to check tessellation
2194,854,A,Divided by 100 rather than multiplied by 100,Percentage Increase,Arithmetic,$0.50 ,$100 ,"If the price of a product is increased by 100%, what is the new price if the original price was $50?",Divided by 100 rather than multiplied by 100
2195,855,A,Believes integers can have decimal places,Understanding of integers and square roots.  ,Arithmetic,4,4,What is the integer value of \( \sqrt{16} \)?,Believes integers can have decimal places
2196,856,A,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded.",Understanding and shading fractions of a shape.  ,Fractions,5,3,"If you need to shade \(\frac{3}{5}\) of a rectangle divided into 5 equal parts, how many parts should you shade?","When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded."
2197,857,A,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer",Solving equations with reciprocals.  ,Algebra,\( x = 3 \),\( x = \frac{1}{3} \),Solve for \( x \) in the equation \( \frac{1}{x} = 3 \).,"When the unknown (e.g., \( x \)) in an equation is a denominator, gives the value of \( \frac{1}{x} \) rather than \( x \) as the answer."
2198,859,A,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting,Factoring the difference of two squares.,Algebra,\( (x - 16)(x + 16) \),\( (x - 4)(x + 4) \),Factorize the expression \( x^2 - 16 \).,Believes they can factorize a difference of two squares by placing the constant in both brackets without square rooting.
2199,861,A,Reads a power as a normal digit,Exponentiation and Multiplication,Arithmetic,18,72,What is the value of \( 2^3 \times 3^2 \)?,Reads a power as a normal digit
2200,862,A,Does not understand equivalent ratios,Understanding and applying equivalent ratios. ,Ratios and Proportions,9,16,"If the ratio of boys to girls in a class is 3:4, and there are 12 boys, how many girls are there?",Does not understand equivalent ratios
2201,865,A,Does not recognise a unit of mass,Units of Mass,Measurement and Units,Kilometer (km),Kilogram (kg),Which of the following is a unit of mass?,Does not recognise a unit of mass
