MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
1381,Believes the gradient is where the line intersects the y axis,Understanding the components of linear equations,Algebra,3,2,What is the gradient of the line represented by the equation \(y = 3x + 2\)?,Believes the gradient is where the line intersects the y axis
1382,"When given two similar objects and asked to find the length scale factor, believes the length scale factor is the area scale factor",Understanding Scale Factors in Similar Figures,Geometry,2,4,"If a small cube has a surface area of 6 square meters and a larger cube has a surface area of 24 square meters, what is the length scale factor between the small cube and the larger cube?","When given two similar objects and asked to find the length scale factor, believes the length scale factor is the area scale factor."
1385,Struggles to draw 3D shapes on isometric paper,Drawing 3D shapes on isometric paper.,Geometry,"They may not align the edges of the cube properly with the grid lines, resulting in a distorted shape.","They will draw the cube as a perfect square, ignoring the perspective required for 3D representation.",A student is asked to draw a cube on isometric paper. Which of the following statements best describes a common mistake they might make due to struggling with drawing 3D shapes on isometric paper?,Struggles to draw 3D shapes on isometric paper.
1387,Does not understand the effect of consecutive subtractions,Understanding the cumulative effect of increasing subtractions in a sequence,Arithmetic Sequences,$35,$50,"If you start with $100 and subtract $5 on the first day, then subtract $10 on the second day, and continue by increasing the amount you subtract by $5 each day, how much will you have left after 5 days?",Does not understand the effect of consecutive subtractions
1390,Believes having the gradient and y-intercept is not enough information to write an equation for a straight line,Writing linear equations from slope and intercept,Algebra,y = 3x - 2,y = -2x + 3,A student knows that the gradient of a line is 3 and the y-intercept is -2. They believe this information is insufficient to write the equation of the line. What is the correct equation of the line?,Believes having the gradient and y-intercept is not enough information to write an equation for a straight line
1391,Does not know how to find the y intercept when given two other sets of coordinates that lie on a straight line,Finding the y-intercept from two points on a line,Algebra,1,"5, 9, 0","If a line passes through the points (2, 5) and (4, 9), what is the y-intercept of this line?",Does not know how to find the y intercept when given two other sets of coordinates that lie on a straight line
1395,"When calculating volume expressed in cubes, counts the visible cubes only",Understanding Volume Calculation Beyond Visible Cubes,Geometry,64,20,"A rectangular prism is made up of small cubes. If you can see 20 cubes on the outside, how many cubes are there in total?","When calculating volume expressed in cubes, counts the visible cubes only"
1396,Finds a percentage when asked for a fraction,Converting between fractions and percentages,Fractions,1/4,25%,"If a pizza is divided into 8 equal slices and John eats 2 slices, what fraction of the pizza has John eaten?",Finds a percentage when asked for a fraction
1397,Believes point will move diagonally when reflecting in a horizontal or vertical line,Reflection over an axis on the coordinate plane,Coordinate Geometry,"(3, -4)","(7, 0)","A point P is located at (3, 4) on the coordinate plane. If point P is reflected over the x-axis, where will the reflected point P' be located?",Believes point will move diagonally when reflecting in a horizontal or vertical line
1398,Divided by 100 rather than 1000,Dilution Problems with Percentages,Ratios and Proportions,1.5 liters,0.15 liters,A scientist has 500 milliliters of a solution that is 30% acid. How many liters of water must be added to make the solution 10% acid?,Divided by 100 rather than 1000
1401,Believes the sin graph relates to the cos function,Phase Shift of Trigonometric Functions,Trigonometry,π/2,"π, 0, -π/2",What is the phase shift of the sine function if it is shifted to look like a cosine function?,Believes the sin graph relates to the cos function by a simple horizontal shift that could be any multiple of π.
1404,"Believes that when multiplying an integer by a decimal greater than 1, you multiply by the integer component of the decimal but add on the decimal component multiplied by 10.",Multiplication of Integers and Decimals,Arithmetic,17.5,12,What is the result of multiplying 7 by 2.5?,"Believes that when multiplying an integer by a decimal greater than 1, you multiply by the integer component of the decimal but add on the decimal component multiplied by 10."
1405,Cannot accurately estimate capacity,Understanding of Capacity and Addition/Subtraction,Measurement,30 liters,"70 liters, 50 liters, 20 liters","A water tank has a capacity of 50 liters. If it is currently filled with 20 liters of water, how much more water can be added to fill the tank without exceeding its capacity?",Cannot accurately estimate capacity
1407,Confuses histograms with bar charts,Understanding the distinction between graphical representations of continuous and categorical data.,Statistics,"Histograms represent continuous data with no gaps between bars, while bar charts represent categorical data with gaps between bars.",There is no significant difference; both histograms and bar charts are used interchangeably for any type of data.,Which of the following statements best describes the difference between a histogram and a bar chart?,Confuses histograms with bar charts
1409,Confuses 'and' with 'or' in probability,Intersection of Independent Events,Probability,0.12,0.7,"If the probability of raining on Saturday is 0.4 and the probability of raining on Sunday is 0.3, what is the probability that it will rain on both days?",Confuses 'and' with 'or' in probability
1412,Believes y=f(-x) is a reflection in y=x,Reflections Across Lines,Coordinate Geometry,\( x = f(y) \),\( y = f(-x) \),"If \( y = f(x) \) represents a curve in the Cartesian plane, which of the following equations represents a curve that is a reflection of \( y = f(x) \) across the line \( y = x \)?",Believes \( y = f(-x) \) is a reflection in \( y = x \).
1413,Assumes the negative sign in a power has no meaning,Understanding of Negative Exponents,Exponents,\( \frac{1}{25} \),-10,Simplify the expression \(5^{-2}\).,Assumes the negative sign in a power has no meaning
1414,Believes instant change of velocity is possible. ,Understanding the concept of instantaneous velocity and acceleration.,Physics - Kinematics.,The velocity becomes zero for an instant before changing direction.,The velocity instantly changes from upward to downward.,"A ball is thrown straight up into the air. At the highest point in its trajectory, what happens to the velocity of the ball?",Believes instant change of velocity is possible.
1415,Assumes every dash on a scale represents an increase of 1,Understanding of Distance and Direction on a Number Line,Number Line and Integers,2 or -8,2 only,"On a number line, if point A is at -3 and point B is 5 dashes away from point A, what is the location of point B?",Assumes every dash on a scale represents an increase of 1
1422,Does not recognise km as a unit of length ,Understanding units of measurement in distance calculations,"Speed, Distance, Time Calculations",300 km,300 m,What is the distance between two cities if a car travels for 3 hours at a speed of 100 km/h?,Does not recognise km as a unit of length
1423,Struggles to estimate 3D volume,Understanding of volume ratios in similar 3D shapes,Geometry,1/8,"1/2, 1/4, 1/6","A rectangular prism has dimensions of 5 cm x 10 cm x 20 cm. If a similar prism has half the length, width, and height, what is the ratio of the volume of the smaller prism to the larger prism?",Struggles to estimate 3D volume
1426,Thinks rule for calculating interior angles only applies to regular polygons,Sum of Interior Angles of Polygons,Geometry,720 degrees,600 degrees,What is the sum of the interior angles of a non-regular hexagon?,Thinks rule for calculating interior angles only applies to regular polygons
1431,"Believes you add the whole to the numerators, ignoring denominators, when adding a mixed number to a proper fraction with the same denominator.",Adding a Mixed Number and a Proper Fraction with Common Denominators,Arithmetic - Addition of Fractions,\(2\frac{4}{4} = 3\),\(2\frac{4}{8}\),Add the mixed number \(2\frac{1}{4}\) to the proper fraction \(\frac{3}{4}\).,"Believes you add the whole to the numerators, ignoring denominators, when adding a mixed number to a proper fraction with the same denominator."
1434,Believes any adjacent angles sum to 180 degrees,Understanding of Adjacent Angles and Vertical Angles,Geometry,60 degrees,120 degrees,"Two lines intersect at a point forming four angles. If one pair of adjacent angles are 120 degrees and 60 degrees, what is the measure of another angle adjacent to the 120-degree angle?",Believes any adjacent angles sum to 180 degrees
1438,Believes division of surds always results in an integer,Division of Surds,Algebra,3,9,What is the result of dividing √18 by √2?,Believes division of surds always results in an integer
1439,"When solving simultaneous equations, assumes every variable has equal value.",Solving systems of linear equations with correct variable assignment.,Algebra,"\(x = 5, y = 5\)","\(x = 4, y = 6\)","If \(x\) and \(y\) are variables in a system of equations, and one equation is \(x + y = 10\), what could be the values of \(x\) and \(y\) if we assume they have equal value due to a misconception?",Assumes every variable has equal value when solving simultaneous equations.
1441,"Thinks decimal place value works the same as integer place value, ones will follow tenths",Understanding Decimal Place Values,Decimal Place Value,5,4,"If you have the number 34.56, which digit is in the tenths place?","Thinks decimal place value works the same as integer place value, ones will follow tenths"
1442,Think cross section of a prism is the biggest face,Understanding of Cross Sections in Prisms,Geometry,"10 cm², 5 cm², 20 cm²","50 cm², 100 cm²",A rectangular prism has dimensions 10 cm by 5 cm by 2 cm. Which of the following could be the area of a cross-section when slicing the prism?,Think cross section of a prism is the biggest face
1446,"When calculating perimeter, only adds two sides",Perimeter of Rectangles,Geometry,26 units,13 units,What is the perimeter of a rectangle with a length of 8 units and a width of 5 units?,"When calculating perimeter, only adds two sides"
1448,Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form,Solving Quadratic Equations by Factoring,Algebra,"\(x = 2, x = 3\)","\(x = -2, x = -3\)","If the quadratic equation \(x^2 - 5x + 6 = 0\) is factorized as \((x - 2)(x - 3) = 0\), what are the solutions according to the misconception that solutions are the negative of the absolute values of the constants in the factorised form?",Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form.
1449,Believes rounding numbers down would give an overestimate,Rounding and Estimation in Practical Scenarios,Arithmetic,3 times,2 times,"If a recipe requires 2.75 cups of flour and you only have a 1-cup measuring cup, what is the minimum number of times you need to fill the 1-cup measuring cup to ensure you have enough flour, rounding down?",Believes rounding numbers down would give an overestimate
1451,Assumes that the square root is the only type of root,Understanding of cube roots,Algebra,3,5.196,What is the value of \(x\) in the equation \(x^3 = 27\)?,Assumes that the square root is the only type of root
1454,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations,Solving systems of linear equations by elimination,Algebra,\(x = 2\),\(x = 7\),Solve the system of equations: \(3x + 2y = 14\) and \(6x + 4y = 28\). What is the value of \(x\)?,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations
1456,Believes linear graphs can be curved,Understanding Linear Graphs,Algebra,A graph showing a straight line passing through the origin.,A graph showing a parabolic curve.,Which of the following graphs represents a linear relationship between x and y?,Believes linear graphs can be curved.
1459,Does not recognise that a surd will simplify to a whole number and not longer be a surd if the number under the surd is a square number,Simplifying Square Roots,Number Theory,4,"\(\sqrt{16}\), 8, 2",Simplify the expression \(\sqrt{16}\).,Does not recognise that a surd will simplify to a whole number and not longer be a surd if the number under the surd is a square number
1460,Identifies second decimal place value when asked for the second significant figure,Understanding Significant Figures,Arithmetic,4,5,What is the second significant figure in the number 0.0456?,Identifies second decimal place value when asked for the second significant figure
1462,Believes height represents frequency on a histogram,Understanding the representation of frequency in histograms.,Statistics,The frequency of students in that height category.,The actual height of the tallest student in that category.,"A histogram displays the number of students in different height categories. If a bar reaches up to 8 units high, what does this height represent?",Believes height represents frequency on a histogram.
1463,"When adding fractions, adds the numerators and multiplies the denominators",Adding Fractions with Unlike Denominators,Arithmetic,\(\frac{5}{4}\),\(\frac{4}{8}\),What is the sum of \(\frac{1}{2}\) and \(\frac{3}{4}\)?,"When adding fractions, adds the numerators and multiplies the denominators"
1464,"When solving simultaneous equations graphically, they think the solutions are the y-intercepts",Solving Simultaneous Equations Graphically,Algebra,"(1, 5)","(0, 3) and (0, 6)","Two linear equations, \(y = 2x + 3\) and \(y = -x + 6\), are graphed on the same coordinate plane. What are the coordinates of their intersection point?","When solving simultaneous equations graphically, they think the solutions are the y-intercepts."
1465,Uses outcome as numerator in probability ,Calculating Probability of Independent Events,Probability,10/28,5/8,"A bag contains 5 red marbles and 3 blue marbles. If two marbles are drawn one after the other without replacement, what is the probability that both marbles are red?",Uses outcome as numerator in probability
1466,Thinks there are 100kg in a ton,Understanding the conversion between tons and kilograms,Conversion of Units,5000 kg,500 kg,"If a shipment consists of 5 tons of apples, how many kilograms of apples does the shipment contain?",Thinks there are 100kg in a ton
1472,"Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease.",Reversing Percentage Changes,Percentages and Ratios,25%,20%,"If the price of a book was reduced by 20%, what percent increase is needed to restore the original price?","Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease."
1474,Forgets to add on the starting value when identifying a position on a number line,Understanding Position on a Number Line Including Starting Value,Number Line Coordinates,4,3,"On a number line where each tick mark represents one unit, if point P is at the fourth tick mark to the right of zero, what is the coordinate of point P?",Forgets to add on the starting value when identifying a position on a number line
1475,Believes y=f(-x) is reflection in the x-axis,Reflections of Graphs Across Axes,Transformations of Functions,\(y = -f(x)\),\(y = f(-x)\),"If the graph of \(y = f(x)\) is reflected over the x-axis, which of the following represents the new function?",Believes \(y = f(-x)\) is reflection in the x-axis
1476,Thinks 1 square metre = 1000 square centimetres,Conversion between square metres and square centimetres,Geometry,"5,000,000 square centimetres","50,000 square centimetres","If a rectangular garden has an area of 50 square metres, how many square centimetres is this?",Thinks 1 square metre = 1000 square centimetres
1477,"When using a scale factor greater than 1, thinks you multiply by the scale factor to go from the larger to the smaller shape.",Understanding Scale Factors in Similar Shapes,Geometry,1/3,3,"If a rectangle has its length and width both multiplied by a scale factor of 3 to create a larger rectangle, what is the scale factor you would use to go from the larger rectangle back to the original?","When using a scale factor greater than 1, thinks you multiply by the scale factor to go from the larger to the smaller shape."
1478,"When expressing one quantity (x) as a fraction of another (y), believes the answer is 1/x.",Expressing quantities as fractions,Ratio and Proportion,4/1,1/120,"If a school has 120 students and 30 teachers, what is the ratio of students to teachers expressed as a fraction?","When expressing one quantity (students) as a fraction of another (teachers), believes the answer is 1/(number of students)."
1482,Believes you only need to multiply the integer by the integer in a integer x decimal calculation,Multiplying decimals by integers,Arithmetic,$3.00,$4.00,"If you have 4 apples and each apple costs $0.75, how much do all the apples cost?",Believes you only need to multiply the integer by the integer in a integer x decimal calculation
1484,Thinks 1l = 10 000 cubic centimetres,Understanding the conversion between liters and cubic centimeters,Volume Conversion,2000,20000,How many cubic centimeters are there in 2 liters of water?,Thinks 1l = 10 000 cubic centimetres
1485,"When given an error interval for a decimal that ends in a zero, thinks you give the error interval as if the zero was not present (e.g. 1dp rather than 2dp)",Understanding the role of zeros in determining significant figures for error intervals.,Measurement and Significant Figures.,2 significant figures (±0.01 meters).,1 significant figure (±0.1 meters).,The length of a table is measured as 2.50 meters with an error interval of ±0.01 meters. How many significant figures should be used to express the error interval correctly?,"When given an error interval for a decimal that ends in a zero, thinks you give the error interval as if the zero was not present (e.g., 1dp rather than 2dp)."
1486,"When using the capture-recapture method for sampling, believes you subtract the number marked second from the number caught second to find the best estimate of population size",Capture-Recapture Method Estimation,Statistics,300,500,"A biologist uses the capture-recapture method to estimate the population of turtles in a pond. Initially, she captures and marks 50 turtles. A few days later, she catches 60 turtles, of which 10 were already marked. What is the best estimate for the total turtle population in the pond?","When using the capture-recapture method for sampling, believes you subtract the number marked second from the number caught second to find the best estimate of population size"
1489,"Believes an outlier is the smallest value in a data set, even if this value is close to the mean",Understanding the definition of an outlier in statistical analysis.,Statistics,"No, because an outlier is a data point that is significantly different from other observations, not just the lowest or highest value.","Yes, because it is the lowest value in the data set.","In a data set consisting of test scores for a class, one student scored significantly lower than the rest but still relatively close to the mean score. Is this low score considered an outlier?","Believes an outlier is the smallest value in a data set, even if this value is close to the mean."
1492,Believes the whole and remainder are the other way when changing an improper fraction to a mixed number,Converting Improper Fractions to Mixed Numbers,Fractions,4 1/4,1 3/4,What is the mixed number form of the improper fraction 17/4?,Believes the whole and remainder are the other way when changing an improper fraction to a mixed number
1493,Thinks the positive and negative terms in a sequence will have the same absolute values,Understanding alternating series and summation of terms,Sequences and Series,0,10,Consider the sequence defined by the formula \(a_n = (-1)^n \cdot n\). What is the sum of the first four terms of this sequence?,Thinks the positive and negative terms in a sequence will have the same absolute values
1495,Thinks the fraction 1/n can express sharing any number of items between n people,Understanding division of whole numbers into equal parts,Fractions,3/4,1/4,"If 3 apples are shared equally among 4 people, how many apples does each person get?",Thinks the fraction 1/n can express sharing any number of items between n people
1496,Ignores grouping within a fraction and carries out the division first,Understanding of Operations Within Fractions,Arithmetic Operations,4.5,4,Simplify the expression \(\frac{3+6}{2}\).,Ignores grouping within a fraction and carries out the division first
1497,Thinks the plan view is taken from an angle to include aspects of the side view,Interpretation of 2D representations of 3D objects,Geometry,5,3,A student is looking at a plan view of a three-dimensional object and is asked to identify the number of cubes that make up the structure. The plan view shows a square with two smaller squares on top of one side. How many cubes does the object consist of?,Thinks the plan view is taken from an angle to include aspects of the side view.
1498,"Does not understand that a scale factor of enlargement greater than -1, will create a larger image on the other side of the centre of enlargement from the original",Scale Factor Enlargement Directionality,Geometry,To the left of point P.,To the right of point P.,"A square is enlarged by a scale factor of -2 with the center of enlargement at point P. If the original square was located entirely to the right of point P, where will the enlarged square be located relative to point P?","Does not understand that a scale factor of enlargement greater than -1, will create a larger image on the other side of the centre of enlargement from the original."
1500,"When calculating a scale factor, thinks the division is the other way around.",Scale Factor and Area Relationship,Geometry,16,0.25,"If the length of a rectangle is scaled up by a factor of 4, what is the scale factor for the area?",Thinks the division is the other way around when calculating a scale factor.
1501,Multiplied the base numbers,Applying the laws of exponents when multiplying different bases with different exponents,Exponents and Multiplication,72,36,What is the result of \( (2^3) \times (3^2) \)?,Multiplied the base numbers
1502,"When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency",Understanding Group Width Calculation in Grouped Frequency Tables,Statistics,The group width is found by subtracting the lower class limit from the upper class limit.,The group width is 500 (midpoint multiplied by frequency).,"In a grouped frequency table, if the midpoint of a class interval is 50 and the frequency is 10, what is the correct way to find the group width for this class?","When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency."
1503,"When drawing a histogram, thinks you plot group midpoint on the horizontal axis",Understanding the boundaries in histogram construction,Statistics,10,15,"When creating a histogram for a dataset with intervals [10-20), [20-30), and [30-40), where should the left boundary of the first bar be placed on the horizontal axis?","When drawing a histogram, thinks you plot group midpoint on the horizontal axis"
1504,"When multiplying surds, adds the numbers under the roots",Multiplication of Surds,Algebra,6,\(\sqrt{15}\),What is the simplified form of \(\sqrt{3} \times \sqrt{12}\)?,"When multiplying surds, adds the numbers under the roots"
1506,Believes transforming some terms in simultaneous equations is sufficient,Solving Simultaneous Equations by Elimination or Substitution,Algebra,x = 3,x = 6,Solve the system of equations for x and y: 2x + 3y = 12 and 4x + 6y = 24. What is the value of x?,Believes transforming some terms in simultaneous equations is sufficient
1512,"When sketching graphs of factorised quadratics, does not see that the negative of the non variable terms in the brackets give the x intercepts or the roots of the graph.",Understanding x-intercepts in factorised quadratic equations,Algebra,"-3, 5","3, -5",Consider the quadratic equation \(y = (x + 3)(x - 5)\). Which of the following are the x-intercepts of its graph?,"When sketching graphs of factorised quadratics, does not see that the negative of the non-variable terms in the brackets give the x-intercepts or the roots of the graph."
1515,"When asked to take off a fraction of an amount, subtracts the fraction itself",Subtracting Fractions of Quantities,Arithmetic,16,23,"If there are 24 apples and you need to take away 1/3 of them, how many apples will you have left?","When asked to take off a fraction of an amount, subtracts the fraction itself"
1518,Mixes up smallest and largest when ordering decimals,Identifying the largest decimal number,Decimals Comparison,0.85,"0.07, 0.23, 0.69",Which of the following numbers is the largest?,Mixes up smallest and largest when ordering decimals
1521,"Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged",Understanding Scale Factors and Area Relationships,Geometry,"No, the area will change.","Yes, the area will remain the same.","If a rectangle's length is doubled and its width is halved using a scale factor, will the area of the rectangle remain the same?","Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged."
1524,Believes adding b to any integer gives a multiple of b,Addition of Integers,Arithmetic Operations,15,18,"If \(a = 12\) and \(b = 3\), what is \(a + b\)?",Believes adding \(b\) to any integer gives a multiple of \(b\)
1531,Believes you plot frequency rather than cumulative frequency on a cumulative frequency diagram,Understanding the components of a cumulative frequency diagram,Statistics,Cumulative Frequency,Frequency,"When creating a cumulative frequency diagram for a set of data, what should be plotted on the y-axis?",Believes you plot frequency rather than cumulative frequency on a cumulative frequency diagram
1534,Thinks that doubling and then doubling again is not the same as multiplying by 4,Understanding of Multiplication and Doubling.,Arithmetic Operations.,Multiplied it by 4.,Doubled it twice.,"If you double a number and then double it again, what have you done to the original number?",Thinks that doubling and then doubling again is not the same as multiplying by 4.
1536,Divides length of original by length of image rather finding length of image divided by length of original to find an enlargement scale factor.,Scale Factor Calculation for Enlargement,Geometry,3,0.33,"A rectangle has a length of 12 cm. When it is enlarged to create a similar rectangle with a length of 36 cm, what is the scale factor of the enlargement?",Divides length of original by length of image rather than finding length of image divided by length of original to find an enlargement scale factor.
1538,Does not take into account the whole amount when using a bar model to find a fraction,Understanding fractions as parts of a whole and division of the remainder,Fractions,1 piece,4 pieces,"If 3/4 of a cake is eaten by guests at a party and the remaining part is divided equally among 4 children, how many pieces does each child get if the cake was originally cut into 16 equal pieces?",Does not take into account the whole amount when using a bar model to find a fraction
1544,Thinks a variable next to a number means write the digits together,Understanding of multiplication in algebraic expressions.,Algebra.,15xy.,53xy.,Simplify the expression: 5x3y.,Thinks a variable next to a number means write the digits together.
1545,Believes you find the surface area of a prism by finding the total area of the unique faces,Surface Area of Prisms,Geometry,294 cm²,130 cm²,"A rectangular prism has dimensions 5 cm x 8 cm x 10 cm. If a student believes they can find the surface area by simply adding the areas of the unique faces (one base, one side, and one height), what incorrect surface area would they calculate?",Believes you find the surface area of a prism by finding the total area of the unique faces
1546,Believes the horizontal axis on a cumulative frequency diagram is labelled upper bound,Understanding the scale and labels on a cumulative frequency graph.,Statistics,The highest value of the variable being measured.,The upper bound of the last class interval.,"On a cumulative frequency diagram, if the last point plotted is (40, 120), what does the number 40 represent?",Believes the horizontal axis on a cumulative frequency diagram is labeled upper bound.
1548,Thinks that a unit fraction can be simplified further,Simplifying Fractions,Fractions,1/3,"2/4, 3/9, 5/10",Which of the following fractions cannot be simplified any further?,Thinks that a unit fraction can be simplified further
1551,Does the reciprocal of both fractions when dividing fractions,Division of Fractions by Applying Reciprocal Correctly,Arithmetic Operations with Fractions,1.5,0.666...,"If \( \frac{3}{4} \) is divided by \( \frac{1}{2} \), what is the result?",Does the reciprocal of both fractions when dividing fractions
1553,Thinks that we can use O as zero for place value in Roman numerals,Roman Numeral System and Place Value Understanding,Number Systems,MDVIII,OMDVIII,What is the Roman numeral representation of the number 1008?,Thinks that we can use O as zero for place value in Roman numerals
1555,Believes that we cannot calculate the median of a dataset that contains negative numbers,Understanding of Median Calculation in Signed Datasets,Statistics,0,Cannot be calculated because the set contains negative numbers.,"What is the median of the following set of numbers: -5, -2, 0, 3, 7?",Believes that we cannot calculate the median of a dataset that contains negative numbers.
1561,Believes the mean is total frequency divided by something,Understanding Mean Calculation.,Statistics.,4 books per student (Correctly calculated as total books divided by number of students).,0.25 books per student (Incorrectly calculated as number of students divided by total books).,"A class has collected data on the number of books read by each student over the summer. The total number of books read by all students is 120, and there are 30 students in the class. If a student believes that to find the mean number of books read, they should divide the total frequency (number of students) by the total number of books, what would this student incorrectly calculate as the mean?",Believes the mean is total frequency divided by something.
1562,"When substituting into an algebraic term, believes they can disregard the coefficient",Substitution in polynomial expressions,Algebra,10,4,Simplify the expression \(3x + 2x^2 - x\) when \(x = 2\).,"When substituting into an algebraic term, believes they can disregard the coefficient"
1563,Thinks the order of events does not matter in a question about combined probability with no replacement,Combined Probability with No Replacement,Probability,1/221,4/663,"In a deck of 52 playing cards, if you draw two cards without replacement, what is the probability that both cards will be aces?",Thinks the order of events does not matter in a question about combined probability with no replacement
1564,Does not recognise time as a variable from a worded scenario,Calculating average speed using time and distance information,"Speed, Time, and Distance",60 mph,240 mph,"A train leaves the station at 9:00 AM and arrives at its destination at 1:00 PM on the same day. If the distance between the two stations is 240 miles, what was the average speed of the train in miles per hour?",Does not recognise time as a variable from a worded scenario
1565,Miscounts the area of a shape when there are half squares,Calculating the area of squares.,Geometry.,25 square meters.,30 square meters.,"A square garden has a side length of 5 meters. If you include the half-squares formed by the paths that cut through the corners of the garden, what is the total area of the garden including these half-squares?",Miscounts the area of a shape when there are half squares.
1567,Does not recognise suitable statistical diagrams for comparing results over time,Selection of appropriate graphical representation for time series data,Statistics,Line graph,"Pie chart, Bar graph, Histogram",Which type of statistical diagram is most appropriate for displaying changes in average temperature over several years?,Does not recognize suitable statistical diagrams for comparing results over time
1569,Uses term-to-term rule as numerical part of nth term rule,Understanding the difference between term-to-term rules and position-to-term rules in sequences,Sequences and Series,4n + 1,5 + 4(n - 1),"Find the nth term rule for the sequence 5, 9, 13, 17, ...",Uses term-to-term rule as numerical part of nth term rule
1570,Does not understand the 3-letter convention for labelling angles,Understanding angle-side relationships in triangles,Geometry,Angle A,"Angle C, Angle B","In triangle ABC, which angle is opposite to side BC?",Does not understand the 3-letter convention for labelling angles
1571,When writing standard form does not give the correct power of ten,Converting Numbers to Standard Form,Exponents and Scientific Notation,5 × 10^5,5 × 10^3,"What is the standard form of the number 500,000?",When writing standard form does not give the correct power of ten
1573,When scaling the perimeter multiplies the number of sides by the scale factor,Scaling Perimeter of Polygons,Geometry,60 units,80 units,"If a square has a perimeter of 20 units and it is scaled up by a factor of 3, what will be the new perimeter?",When scaling the perimeter multiplies the number of sides by the scale factor
1574,Struggles to visualise 2D triangles in a cuboid,Diagonal of a Cube,Geometry,9.48683298050514 cm (approximately),"6 cm, 12 cm, 18 cm",A cube has a side length of 6 cm. A diagonal is drawn from one corner of the cube to the opposite corner. What is the length of this diagonal?,Struggles to visualise 2D triangles in a cuboid
1575,Includes too many possibilities when calculating a combined event in probability,Calculating probabilities for combined events without replacement,Probability,19/30,"28/45, 35/66","A bag contains 5 red marbles, 3 green marbles, and 2 blue marbles. If two marbles are drawn randomly without replacement, what is the probability that both marbles are either red or green?",Includes too many possibilities when calculating a combined event in probability
1576,Divides rather than multiplies in a related calculation questions,Area of a Rectangle,Geometry,32 units²,16 units²,"If a rectangle has a length of 8 units and a width that is half of its length, what is the area of the rectangle?",Divides rather than multiplies in a related calculation questions
1578,"When dividing a fraction by an integer, subtracts the integer from the denominator",Dividing a Fraction by an Integer Correctly,Arithmetic Operations with Fractions,\( \frac{3}{8} \),\( \frac{1}{4} \),What is the result when \( \frac{3}{4} \) is divided by 2?,"When dividing a fraction by an integer, subtracts the integer from the denominator."
1579,Does not realise that in standard form the decimal we use must be between 1 and 10,Understanding Standard Form with Decimal Placement,Scientific Notation,4.5 × 10\(^{-3}\),0.45 × 10\(^{-2}\),What is the number 0.0045 written in standard form?,Does not realise that in standard form the decimal we use must be between 1 and 10
1580,"When drawing a cumulative frequency diagram, thinks you plot the frequency on the horizontal axis",Understanding of Cumulative Frequency,Statistics,The total number of data points up to and including that value is 20.,The number of times that specific value appears in the dataset is 20.,"In a set of data, if the cumulative frequency of a particular value is 20, what does this indicate about the data up to that value?","When drawing a cumulative frequency diagram, thinks you plot the frequency on the horizontal axis."
1581,Thinks that two side views are interchangeable,Understanding the effect of rotation on object dimensions,Geometry,8 cm,5 cm,"A rectangular prism has dimensions 8 cm x 5 cm x 3 cm. If you rotate it so that the side that was originally 5 cm wide becomes the base, what will be the new height of the prism?",Thinks that two side views are interchangeable
1583,Does not recognise the origin as the starting point for coordinates,Plotting Points on the Coordinate Plane,Coordinate Geometry,"(3, 4)","(0, 7), (-3, 4)",What are the coordinates of point P if it is located 3 units to the right and 4 units up from the origin on a coordinate plane?,Does not recognise the origin as the starting point for coordinates
1584,Believes if a point is reflected in the line y=b then the y coordinate of the point will become 'b',Reflection over a Horizontal Line,Coordinate Geometry,"(4, 8)","(4, 3)","If the point (4, -2) is reflected over the line y = 3, what are the coordinates of the reflected point?",Believes if a point is reflected in the line y=b then the y coordinate of the point will become 'b'
1587,when reading a dash on a number line counts 1 dash too few when working out the divisions,Counting Divisions on a Number Line,Number Lines and Measurement,10,9,"On a number line from 0 to 20, if each division represents 2 units, how many divisions are there?",When reading a dash on a number line counts 1 dash too few when working out the divisions
1589,Thinks the division sign means to subtract,Understanding Division as Scaling,Proportions and Ratios,1 cup,2 cups,"If a recipe calls for 4 cups of flour to serve 8 people, how many cups of flour are needed to serve 2 people?",Thinks the division sign means to subtract
1592,Thinks the number of items give the number of different possible arrangements rather than using the product rule for counting,Permutations of distinct objects,Combinatorics,24,4,How many different ways can 4 books be arranged on a shelf?,Thinks the number of items give the number of different possible arrangements rather than using the product rule for counting
1594,Believes the proportion for a pie chart sector is equal to the frequency,Understanding the relationship between frequency and proportion in pie charts,Statistics,108 degrees,15 degrees,"In a survey, 50 people were asked about their favorite fruit. 20 people said they like apples, 15 said bananas, and the rest said oranges. If this information is represented in a pie chart, what is the angle of the sector representing bananas?",Believes the proportion for a pie chart sector is equal to the frequency
